id;nit;name;direction;operator_id
1;joshingly;seemingly iceberg;longingly green high-level;1
2;sally love that;frenetically;vacantly tamper modulo;2
3;dirty dressing erode;abnormally;weak;3
4;excluding;apropos;processor eek;1
5;furthermore;ha;upend vaporize waiter;2
6;despite while supposing;lest oh whereas;mortgage;3
7;invalidate drat zowie;gah enliven boo;until whenever;1
8;untried;up;roughly;2
9;gadzooks tie unhappy;unlike card for;unlock gymnast enshroud;3
10;but;stain educated fooey;hourly drab;1
