id;id_casino;serial;nuc;initialized;balance;model_id;casino_id
1;13416;idolized below because;enthusiastically low if;2024-05-06T16:24:36;14742.8;1;1
2;24142;suspicious garner ick;seldom urban simulcast;2024-05-05T18:48:34;18751.23;2;1
3;16598;including blah trifling;joshingly brr;2024-05-06T02:41:11;3091.55;3;2
4;17963;pfft dryer;psst mishandle web;2024-05-06T02:31:25;28397.48;4;2
5;2786;yesterday cant although;thunderous;2024-05-06T16:39:47;22670.17;5;3
6;1038;customer phooey after;mid;2024-05-06T13:40:22;31432.52;6;3
7;22069;spoon;mid duh;2024-05-06T04:03:33;30866.62;7;3
8;20617;rib;ouch permit around;2024-05-06T13:01:32;15539.97;8;4
9;25912;ew waft jovially;sculpt glittering;2024-05-06T01:36:03;17200.8;9;4
10;22028;anti and;dislodge favorite;2024-05-06T07:42:36;26942.7;10;4
